AMD   0.00 65.75 43.27 45.88 62.15 50.59 42.35 68.95 38.52
BTW  65.75  0.00 26.93 20.88 14.03 20.54 23.99 47.36 49.61
CAF  43.27 26.93  0.00 17.73 19.19  7.53  7.69 58.16 43.92
CRF  45.88 20.88 17.73  0.00 23.92 17.80 10.21 40.46 30.98
DOM  62.15 14.03 19.19 23.92  0.00 11.67 20.62 59.08 54.89
FMW  50.59 20.54  7.53 17.80 11.67  0.00 10.49 57.46 47.34
FRG  42.35 23.99  7.69 10.21 20.62 10.49  0.00 50.53 37.13
HEL  68.95 47.36 58.16 40.46 59.08 57.46 50.53  0.00 31.18
LEC  38.52 49.61 43.92 30.98 54.89 47.34 37.13 31.18  0.00
AMD      0   -67   -83   -60   -79   -81   -73   -26   -19
BTW    113     0   139    98  -178   149   123    40    77
CAF     97   -41     0    10   -71   -68    19    13    44
CRF    120   -82  -170     0  -118  -146  -177    14    63
DOM    101     2   109    62     0   108    87    31    63
FMW     99   -31   112    34   -72     0    65    20    53
FRG    107   -57  -161     3   -93  -115     0    12    50
HEL    154  -140  -167  -166  -149  -160  -168     0   145
LEC    161  -103  -136  -117  -117  -127  -130   -35     0
AMD   1.00  0.75  0.88  0.33  0.69  0.86  0.92 -1.00  0.43
BTW   0.75  1.00  0.77  0.76  0.77  0.63  0.77 -1.00 -0.05
CAF   0.88  0.77  1.00  0.45  0.58  0.68  0.84 -1.00  0.46
CRF   0.33  0.76  0.45  1.00  0.60  0.25  0.43 -1.00 -0.38
DOM   0.69  0.77  0.58  0.60  1.00  0.87  0.88 -1.00  0.06
FMW   0.86  0.63  0.68  0.25  0.87  1.00  0.94 -1.00  0.41
FRG   0.92  0.77  0.84  0.43  0.88  0.94  1.00 -1.00  0.42
HEL  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
LEC   0.43 -0.05  0.46 -0.38  0.06  0.41  0.42 -1.00  1.00
AMD  -0.00  0.00  0.03 -0.00  0.00  0.01  0.04 -9.99  0.02
BTW  -0.00 -0.00  0.02 -0.01 -0.00  0.01  0.04 -9.99  0.01
CAF  -0.03 -0.02 -0.00 -0.03 -0.02 -0.02  0.01 -9.99 -0.01
CRF   0.00  0.01  0.03 -0.00  0.01  0.01  0.05 -9.99  0.02
DOM  -0.00 -0.00  0.02 -0.01 -0.00  0.01  0.04 -9.99  0.01
FMW  -0.01 -0.01  0.02 -0.01 -0.01 -0.00  0.03 -9.99  0.01
FRG  -0.04 -0.04 -0.01 -0.05 -0.04 -0.03 -0.00 -9.99 -0.03
HEL  -9.99 -9.99 -9.99 -9.99 -9.99 -9.99 -9.99 -9.99 -9.99
LEC  -0.02 -0.01  0.01 -0.02 -0.01 -0.01  0.03 -9.99 -0.00
