# 2004 01 01 00 00  0.000  39.1991 -120.0025 10.00  0.76 0 0 0     1
 DON   9.76 1 S
 DON   5.64 1 P
 PEA   7.75 1 P
 PEA  13.42 1 S
 RUB   6.75 1 S
 RUB   3.90 1 P
 WIL  13.03 1 S
 WIL   7.52 1 P
# 2004 01 01 01 00  0.000  39.1991 -120.0139 10.00  0.83 0 0 0     2
 DON   9.53 1 S
 DON   5.50 1 P
 PEA   7.76 1 P
 PEA  13.45 1 S
 RUB   6.59 1 S
 RUB   3.81 1 P
 WIL  13.08 1 S
 WIL   7.55 1 P
# 2004 01 01 02 00  0.000  39.2081 -120.0022 10.00  0.72 0 0 0     3
 DON   9.62 1 S
 DON   5.56 1 P
 PEA   7.59 1 P
 PEA  13.14 1 S
 RUB   6.96 1 S
 RUB   4.02 1 P
 WIL   7.68 1 P
 WIL  13.30 1 S
# 2004 01 01 03 00  0.000  39.1992 -120.0024  9.00  0.74 0 0 0     4
 DON   9.68 1 S
 DON   5.59 1 P
 PEA   7.72 1 P
 PEA  13.36 1 S
 RUB   6.63 1 S
 RUB   3.83 1 P
 WIL  12.97 1 S
 WIL   7.49 1 P
