             time [UTC]  lat. [°N]  lon. [°E]  dep. [km]  mb  ms    ml  event type certainty              Flinn-Engdahl region
2015-12-29 00:02:51.044    37.0160  -116.4143    10.4397 NaN NaN -1.19        None      None                   SOUTHERN NEVADA
2015-12-29 00:12:43.388    39.0714  -119.0049     6.7396 NaN NaN  1.53        None      None                            NEVADA
2015-12-29 00:16:01.890    40.3968  -119.5536     0.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 00:57:00.304    41.4875  -118.9234     1.7015 NaN NaN  2.42        None      None                            NEVADA
2015-12-29 01:09:29.086    41.8831  -119.6215     7.7206 NaN NaN  1.15        None      None                            NEVADA
2015-12-29 01:27:51.536    38.5423  -118.1826    12.7433 NaN NaN  0.48        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 01:39:55.200    37.1121  -116.3586     9.4712 NaN NaN -0.90        None      None                   SOUTHERN NEVADA
2015-12-29 01:52:04.289    -3.2090   158.1807    30.0000 NaN NaN   NaN  earthquake      None          NORTH OF SOLOMON ISLANDS
2015-12-29 02:06:45.414    27.4305  -131.8361    30.0000 NaN NaN   NaN        None      None               NORTH PACIFIC OCEAN
2015-12-29 02:22:21.796    36.7299  -112.7477     3.0000 NaN NaN   NaN  earthquake      None                   WESTERN ARIZONA
2015-12-29 02:31:43.694    41.8656  -119.6278     7.0131 NaN NaN  1.11        None      None                            NEVADA
2015-12-29 02:42:58.061    39.7481  -120.6349     6.5625 NaN NaN  1.24        None      None               NORTHERN CALIFORNIA
2015-12-29 02:54:31.357     9.2303   -78.1808    30.0000 NaN NaN   NaN  earthquake      None                            PANAMA
2015-12-29 03:07:29.765    41.8732  -119.6043     8.4400 NaN NaN  0.91        None      None                            NEVADA
2015-12-29 03:20:51.231    37.0343  -116.3823     8.6188 NaN NaN -1.01        None      None                   SOUTHERN NEVADA
2015-12-29 03:24:25.827    37.8335  -118.9564    15.0000 NaN NaN  1.14        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 03:29:08.889    37.3712  -113.3171     0.0000 NaN NaN   NaN        None      None                              UTAH
2015-12-29 03:29:50.491    40.7325  -116.3290    19.2276 NaN NaN  1.96        None      None                            NEVADA
2015-12-29 03:34:29.219    44.2430  -129.9058    30.0000 NaN NaN   NaN  earthquake      None               OFF COAST OF OREGON
2015-12-29 03:34:38.748    40.8882  -130.5197    30.0000 NaN NaN   NaN  earthquake      None  OFF COAST OF NORTHERN CALIFORNIA
2015-12-29 03:45:50.489    41.1182  -118.4837    22.0891 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 03:50:15.223    37.8339  -118.8897    12.0000 NaN NaN  1.31        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 04:06:38.711    35.9081  -114.9290     0.0000 NaN NaN  1.60        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 04:20:37.629    41.4727  -118.9171     2.5434 NaN NaN  2.41        None      None                            NEVADA
2015-12-29 04:37:10.418    36.2324  -117.8729     0.0000 NaN NaN  2.11  earthquake      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 04:38:35.354    36.6986  -119.9716     0.0000 NaN NaN  1.83  earthquake      None                CENTRAL CALIFORNIA
2015-12-29 04:46:31.062    37.4519  -115.9618     0.0000 NaN NaN  0.08        None      None                   SOUTHERN NEVADA
2015-12-29 04:47:48.128    41.8912  -119.6058     5.2594 NaN NaN  2.31        None      None                            NEVADA
2015-12-29 05:09:14.193    37.3729  -117.1285    14.8527 NaN NaN -0.02        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 05:11:44.650    41.8590  -119.6117     6.8140 NaN NaN  0.93        None      None                            NEVADA
2015-12-29 05:44:00.673    38.4983  -118.0676    15.0000 NaN NaN   NaN        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 05:49:19.701    38.3838  -119.9253     0.0000 NaN NaN  2.13        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 06:07:11.458    15.5749   179.8546    30.0000 NaN NaN   NaN        None      None           MARSHALL ISLANDS REGION
2015-12-29 06:23:36.629    38.1722  -119.2058     0.0000 NaN NaN   NaN        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 06:24:14.887    37.5991  -120.0829     9.0000 NaN NaN   NaN        None      None                CENTRAL CALIFORNIA
2015-12-29 06:31:16.896    41.8720  -119.6075     9.7313 NaN NaN  3.34        None      None                            NEVADA
2015-12-29 06:34:56.851    41.8786  -119.6395     9.2282 NaN NaN  0.73        None      None                            NEVADA
2015-12-29 06:36:20.840    32.7639  -137.5900    30.0000 NaN NaN   NaN  earthquake      None               NORTH PACIFIC OCEAN
2015-12-29 06:45:12.192    41.8855  -119.6255     7.4618 NaN NaN  1.19        None      None                            NEVADA
2015-12-29 07:00:39.211    41.8672  -119.6298     7.9111 NaN NaN  1.39        None      None                            NEVADA
